,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
BEDOK,2855,471.0,72.0,16.0,175.0,35.0,330.0,42.0,665.0,110.0,764.0,96.0,507.0,108.0,294.0,54.0,48.0,10.0
JURONG WEST,2494,513.0,93.0,9.0,126.0,28.0,312.0,72.0,560.0,120.0,808.0,184.0,435.0,69.0,142.0,28.0,18.0,3.0
WOODLANDS,2339,409.0,184.0,50.0,217.0,35.0,444.0,66.0,610.0,130.0,508.0,76.0,258.0,36.0,108.0,14.0,10.0,2.0
TAMPINES,2163,452.0,86.0,18.0,84.0,14.0,324.0,84.0,300.0,70.0,692.0,136.0,543.0,117.0,118.0,12.0,16.0,1.0
HOUGANG,1731,347.0,9.0,9.0,105.0,28.0,180.0,42.0,330.0,60.0,556.0,100.0,399.0,75.0,118.0,26.0,34.0,7.0
ANG MO KIO,1692,360.0,26.0,18.0,70.0,7.0,162.0,24.0,350.0,95.0,432.0,76.0,381.0,84.0,228.0,48.0,43.0,8.0
BUKIT BATOK,1647,262.0,56.0,0.0,70.0,7.0,222.0,48.0,325.0,45.0,568.0,92.0,306.0,51.0,86.0,18.0,14.0,1.0
CHOA CHU KANG,1627,264.0,57.0,0.0,105.0,14.0,270.0,18.0,400.0,70.0,500.0,112.0,219.0,30.0,72.0,20.0,4.0,0.0
BUKIT PANJANG,1619,317.0,44.0,8.0,119.0,21.0,324.0,36.0,380.0,85.0,472.0,104.0,195.0,39.0,76.0,22.0,9.0,2.0
YISHUN,1610,223.0,40.0,8.0,35.0,0.0,240.0,12.0,325.0,75.0,524.0,56.0,294.0,39.0,140.0,32.0,12.0,1.0
BUKIT MERAH,1518,286.0,16.0,0.0,21.0,0.0,108.0,18.0,255.0,55.0,400.0,80.0,429.0,81.0,244.0,44.0,45.0,8.0
SENGKANG,1363,272.0,16.0,0.0,56.0,7.0,132.0,30.0,295.0,55.0,488.0,108.0,255.0,51.0,110.0,18.0,11.0,3.0
PASIR RIS,1210,211.0,16.0,16.0,35.0,7.0,258.0,42.0,265.0,45.0,328.0,64.0,228.0,18.0,68.0,16.0,12.0,3.0
TOA PAYOH,1147,184.0,0.0,0.0,42.0,7.0,102.0,6.0,160.0,15.0,332.0,56.0,333.0,69.0,132.0,20.0,46.0,11.0
GEYLANG,1128,256.0,8.0,0.0,35.0,21.0,78.0,24.0,225.0,60.0,304.0,48.0,312.0,69.0,132.0,26.0,34.0,8.0
JURONG EAST,1101,231.0,44.0,16.0,28.0,7.0,132.0,18.0,170.0,50.0,380.0,88.0,237.0,39.0,102.0,10.0,8.0,3.0
SERANGOON,1074,182.0,32.0,8.0,77.0,14.0,126.0,42.0,200.0,25.0,312.0,40.0,222.0,39.0,90.0,14.0,15.0,0.0
QUEENSTOWN,1054,188.0,0.0,0.0,49.0,14.0,114.0,6.0,155.0,20.0,272.0,72.0,276.0,45.0,162.0,28.0,26.0,3.0
PUNGGOL,978,191.0,26.0,10.0,21.0,7.0,84.0,6.0,220.0,40.0,300.0,60.0,189.0,51.0,134.0,16.0,4.0,1.0
KALLANG,940,197.0,0.0,0.0,14.0,0.0,78.0,18.0,205.0,55.0,224.0,52.0,255.0,42.0,122.0,18.0,42.0,12.0
SEMBAWANG,900,151.0,0.0,0.0,84.0,21.0,156.0,30.0,270.0,50.0,256.0,32.0,96.0,9.0,36.0,8.0,2.0,1.0
CLEMENTI,823,123.0,19.0,0.0,21.0,0.0,66.0,6.0,185.0,15.0,224.0,52.0,162.0,33.0,124.0,14.0,22.0,3.0
BISHAN,758,176.0,0.0,0.0,7.0,0.0,150.0,36.0,110.0,15.0,228.0,52.0,228.0,60.0,30.0,12.0,5.0,1.0
BUKIT TIMAH,731,146.0,40.0,16.0,42.0,7.0,126.0,18.0,195.0,55.0,188.0,32.0,111.0,15.0,24.0,2.0,5.0,1.0
MARINE PARADE,540,84.0,8.0,0.0,21.0,7.0,60.0,12.0,115.0,5.0,144.0,32.0,114.0,12.0,64.0,12.0,14.0,4.0
NOVENA,277,52.0,8.0,0.0,21.0,7.0,54.0,12.0,35.0,5.0,72.0,8.0,45.0,9.0,32.0,8.0,10.0,3.0
OUTRAM,160,34.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,48.0,12.0,51.0,9.0,36.0,4.0,15.0,4.0
ROCHOR,107,8.0,0.0,0.0,0.0,0.0,12.0,0.0,20.0,0.0,36.0,4.0,15.0,0.0,20.0,4.0,4.0,0.0
TANGLIN,55,26.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,0.0,24.0,12.0,9.0,6.0,4.0,2.0,2.0,0.0
RIVER VALLEY,52,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,15.0,3.0,10.0,2.0,4.0,1.0
DOWNTOWN CORE,10,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
NEWTON,8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SINGAPORE RIVER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
