,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
HDB 4-room,12042,2281.0,240.0,34.0,553.0,112.0,1560.0,294.0,2535.0,500.0,3820.0,736.0,2391.0,441.0,866.0,152.0,77.0,12.0
HDB 5-room,9554,1792.0,305.0,76.0,630.0,105.0,1608.0,252.0,2255.0,490.0,2848.0,528.0,1389.0,243.0,480.0,92.0,39.0,6.0
HDB 3-room,6004,1091.0,67.0,43.0,70.0,28.0,444.0,54.0,840.0,135.0,1612.0,288.0,1914.0,348.0,896.0,160.0,161.0,35.0
Private flat/condo,3787,669.0,16.0,8.0,147.0,21.0,474.0,66.0,930.0,200.0,1256.0,220.0,630.0,99.0,262.0,44.0,72.0,11.0
Landed Property,2263,402.0,214.0,41.0,210.0,28.0,420.0,96.0,515.0,55.0,440.0,88.0,297.0,63.0,148.0,30.0,19.0,1.0
HDB 2-room,935,176.0,16.0,0.0,35.0,7.0,72.0,0.0,125.0,20.0,220.0,44.0,264.0,66.0,150.0,28.0,53.0,11.0
HDB 1-room,510,86.0,16.0,0.0,14.0,7.0,6.0,0.0,30.0,5.0,48.0,8.0,135.0,24.0,190.0,28.0,71.0,14.0
Government executive flat,247,51.0,0.0,0.0,14.0,7.0,36.0,6.0,70.0,15.0,72.0,12.0,30.0,6.0,20.0,2.0,5.0,3.0
HDB other than flat,107,37.0,0.0,0.0,0.0,0.0,6.0,6.0,15.0,5.0,20.0,8.0,12.0,3.0,34.0,10.0,20.0,5.0
HUDC flat,107,11.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,20.0,0.0,30.0,9.0,6.0,2.0,1.0,0.0
Other public flat,86,13.0,26.0,0.0,7.0,0.0,6.0,0.0,15.0,5.0,12.0,0.0,12.0,3.0,2.0,2.0,6.0,3.0
Shophouse,37,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,4.0,2.0,9.0,3.0
Attap/zinc roofed,25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,4.0,6.0,3.0,2.0,0.0,0.0,0.0
Floor of shophouse,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
