,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
30-34 yrs old,2991,588.0,70.0,16.0,122.0,33.0,364.0,64.0,547.0,121.0,799.0,162.0,699.0,122.0,361.0,64.0,29.0,6.0
35-39 yrs old,2826,532.0,66.0,11.0,146.0,32.0,327.0,55.0,584.0,119.0,866.0,157.0,603.0,112.0,201.0,41.0,33.0,5.0
40-44 yrs old,2681,510.0,63.0,8.0,99.0,18.0,326.0,42.0,580.0,121.0,852.0,168.0,544.0,112.0,186.0,35.0,31.0,6.0
45-49 yrs old,2676,481.0,41.0,9.0,94.0,6.0,331.0,55.0,531.0,90.0,859.0,172.0,580.0,94.0,202.0,47.0,38.0,8.0
50-54 yrs old,2652,468.0,31.0,7.0,80.0,11.0,261.0,45.0,523.0,90.0,886.0,147.0,594.0,119.0,220.0,38.0,57.0,11.0
15-19 yrs old,2595,483.0,72.0,11.0,135.0,15.0,442.0,69.0,664.0,118.0,868.0,178.0,374.0,83.0,36.0,9.0,4.0,0.0
25-29 yrs old,2551,479.0,79.0,17.0,138.0,34.0,358.0,62.0,554.0,113.0,667.0,122.0,482.0,87.0,237.0,39.0,36.0,5.0
10-14 yrs old,2354,419.0,111.0,37.0,147.0,19.0,427.0,72.0,638.0,99.0,770.0,155.0,247.0,35.0,14.0,2.0,0.0,0.0
20-24 yrs old,2271,431.0,59.0,11.0,109.0,14.0,335.0,62.0,606.0,136.0,692.0,124.0,377.0,63.0,84.0,21.0,9.0,0.0
55-59 yrs old,2237,388.0,38.0,12.0,62.0,16.0,213.0,41.0,340.0,73.0,662.0,108.0,588.0,93.0,279.0,32.0,55.0,13.0
60-64 yrs old,1909,368.0,22.0,6.0,45.0,17.0,171.0,30.0,251.0,45.0,443.0,94.0,538.0,92.0,369.0,68.0,70.0,16.0
6-9 yrs old,1655,285.0,71.0,16.0,112.0,24.0,312.0,40.0,456.0,84.0,521.0,82.0,178.0,38.0,5.0,1.0,0.0,0.0
65-69 yrs old,1203,219.0,20.0,4.0,53.0,11.0,111.0,17.0,116.0,30.0,227.0,31.0,349.0,68.0,278.0,46.0,49.0,12.0
70-74 yrs old,1047,181.0,30.0,5.0,55.0,8.0,120.0,20.0,106.0,17.0,148.0,25.0,252.0,47.0,275.0,49.0,61.0,10.0
75-79 yrs old,606,94.0,13.0,3.0,35.0,6.0,72.0,10.0,52.0,6.0,83.0,15.0,156.0,21.0,160.0,25.0,35.0,8.0
80-84 yrs old,401,83.0,9.0,2.0,16.0,3.0,37.0,9.0,55.0,4.0,81.0,16.0,96.0,25.0,86.0,21.0,21.0,3.0
85 yrs & above,197,43.0,6.0,0.0,17.0,5.0,29.0,8.0,22.0,5.0,31.0,5.0,52.0,11.0,33.0,7.0,7.0,2.0
