,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Professional,5042,940.0,64.0,15.0,149.0,21.0,523.0,91.0,955.0,182.0,1551.0,307.0,1146.0,209.0,557.0,95.0,97.0,20.0
Service & sales worker,3552,656.0,67.0,14.0,129.0,25.0,402.0,73.0,648.0,123.0,1023.0,192.0,823.0,149.0,370.0,62.0,90.0,18.0
Associate professional & technician,1626,315.0,35.0,7.0,62.0,16.0,199.0,26.0,320.0,66.0,491.0,89.0,346.0,75.0,157.0,34.0,16.0,2.0
"Legislator,senior official & manager",1606,311.0,34.0,8.0,83.0,20.0,200.0,32.0,364.0,75.0,453.0,85.0,313.0,62.0,127.0,25.0,32.0,4.0
Clerical worker,1493,270.0,45.0,8.0,71.0,17.0,193.0,38.0,289.0,61.0,464.0,68.0,295.0,53.0,121.0,24.0,15.0,1.0
"Cleaner, labourer & related worker",894,144.0,40.0,2.0,22.0,5.0,64.0,9.0,99.0,26.0,195.0,30.0,246.0,35.0,194.0,29.0,34.0,8.0
Plant & machine operator & assembler,682,130.0,19.0,5.0,38.0,11.0,69.0,13.0,107.0,19.0,209.0,42.0,182.0,34.0,53.0,6.0,5.0,0.0
Production craftsman & related worker,379,55.0,2.0,0.0,10.0,0.0,33.0,1.0,69.0,10.0,120.0,15.0,83.0,16.0,55.0,12.0,7.0,1.0
Armed forces,245,45.0,7.0,3.0,9.0,3.0,24.0,6.0,49.0,11.0,89.0,10.0,50.0,5.0,16.0,7.0,1.0,0.0
Self Employed / Businessman,52,10.0,0.0,0.0,2.0,0.0,5.0,0.0,13.0,5.0,8.0,0.0,18.0,2.0,5.0,2.0,1.0,1.0
Agriculture & fishery worker,30,5.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,8.0,1.0,8.0,1.0,5.0,0.0,1.0,1.0
