,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
1,9635,1785.0,108.0,24.0,240.0,45.0,777.0,129.0,1472.0,286.0,2598.0,484.0,2375.0,436.0,1530.0,276.0,535.0,105.0
2,9100,1680.0,108.0,24.0,240.0,45.0,777.0,129.0,1472.0,286.0,2598.0,484.0,2375.0,436.0,1530.0,276.0,0.0,0.0
3,7570,1404.0,108.0,24.0,240.0,45.0,777.0,129.0,1472.0,286.0,2598.0,484.0,2375.0,436.0,0.0,0.0,0.0,0.0
4,5195,968.0,108.0,24.0,240.0,45.0,777.0,129.0,1472.0,286.0,2598.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2597,484.0,108.0,24.0,240.0,45.0,777.0,129.0,1472.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1125,198.0,108.0,24.0,240.0,45.0,777.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,348,69.0,108.0,24.0,240.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,108,24.0,108.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26,8.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
