,population,sample,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
BEDOK,2855,126.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,175.0,7.0,330.0,0.0,665.0,55.0,764.0,40.0,507.0,12.0,294.0,12.0,48.0,0.0
JURONG WEST,2494,77.0,0.0,0.0,0.0,0.0,45.0,0.0,48.0,0.0,126.0,0.0,312.0,12.0,560.0,15.0,808.0,32.0,435.0,12.0,142.0,6.0,18.0,0.0
WOODLANDS,2339,97.0,0.0,0.0,20.0,0.0,36.0,0.0,128.0,8.0,217.0,0.0,444.0,36.0,610.0,30.0,508.0,12.0,258.0,9.0,108.0,2.0,10.0,0.0
TAMPINES,2163,89.0,0.0,0.0,20.0,0.0,18.0,0.0,48.0,0.0,84.0,0.0,324.0,12.0,300.0,25.0,692.0,24.0,543.0,24.0,118.0,2.0,16.0,2.0
HOUGANG,1731,66.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,105.0,0.0,180.0,12.0,330.0,15.0,556.0,20.0,399.0,12.0,118.0,6.0,34.0,1.0
ANG MO KIO,1692,87.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,70.0,0.0,162.0,24.0,350.0,10.0,432.0,16.0,381.0,21.0,228.0,14.0,43.0,2.0
BUKIT BATOK,1647,47.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,70.0,7.0,222.0,6.0,325.0,0.0,568.0,20.0,306.0,12.0,86.0,2.0,14.0,0.0
CHOA CHU KANG,1627,52.0,0.0,0.0,0.0,0.0,9.0,0.0,48.0,0.0,105.0,0.0,270.0,6.0,400.0,10.0,500.0,20.0,219.0,12.0,72.0,2.0,4.0,2.0
BUKIT PANJANG,1619,65.0,0.0,0.0,20.0,0.0,0.0,0.0,24.0,0.0,119.0,14.0,324.0,6.0,380.0,15.0,472.0,12.0,195.0,12.0,76.0,6.0,9.0,0.0
YISHUN,1610,71.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,35.0,0.0,240.0,12.0,325.0,30.0,524.0,12.0,294.0,9.0,140.0,8.0,12.0,0.0
BUKIT MERAH,1518,63.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,21.0,0.0,108.0,0.0,255.0,5.0,400.0,8.0,429.0,33.0,244.0,16.0,45.0,1.0
