,population,sample,population_21 or above,sample_21 or above,population_20,sample_20,population_19,sample_19,population_18,sample_18,population_17,sample_17,population_16,sample_16,population_15,sample_15,population_14,sample_14,population_13,sample_13,population_12,sample_12,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
1,28519,2427.0,1070.0,133.0,315.0,24.0,376.0,45.0,447.0,31.0,548.0,53.0,756.0,46.0,889.0,64.0,1257.0,116.0,1408.0,131.0,1870.0,128.0,1873.0,186.0,2256.0,198.0,2075.0,177.0,2616.0,239.0,2128.0,186.0,2447.0,190.0,1720.0,149.0,2121.0,168.0,982.0,71.0,1218.0,83.0,147.0,9.0
2,22546,1891.0,972.0,74.0,305.0,33.0,317.0,38.0,367.0,23.0,514.0,41.0,679.0,49.0,784.0,55.0,1151.0,83.0,1249.0,136.0,1627.0,118.0,1621.0,147.0,1890.0,162.0,1831.0,139.0,2230.0,213.0,1731.0,177.0,1867.0,135.0,1315.0,113.0,1292.0,97.0,581.0,47.0,222.0,11.0,1.0,0.0
3,17385,1504.0,670.0,60.0,281.0,26.0,268.0,33.0,319.0,16.0,426.0,46.0,586.0,46.0,729.0,56.0,1036.0,94.0,1085.0,109.0,1451.0,105.0,1427.0,150.0,1673.0,136.0,1596.0,120.0,1788.0,161.0,1448.0,139.0,1217.0,99.0,850.0,65.0,457.0,38.0,76.0,5.0,2.0,0.0,0.0,0.0
4,11954,993.0,622.0,58.0,253.0,13.0,259.0,32.0,272.0,7.0,415.0,36.0,537.0,53.0,638.0,48.0,877.0,70.0,951.0,93.0,1112.0,78.0,1166.0,92.0,1233.0,106.0,1165.0,99.0,1020.0,85.0,776.0,58.0,479.0,56.0,153.0,8.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,5498,518.0,512.0,48.0,150.0,14.0,135.0,11.0,197.0,5.0,274.0,23.0,309.0,38.0,401.0,31.0,490.0,37.0,524.0,68.0,562.0,60.0,497.0,50.0,544.0,50.0,417.0,38.0,278.0,26.0,140.0,14.0,60.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1846,192.0,255.0,23.0,64.0,6.0,47.0,6.0,77.0,6.0,112.0,15.0,143.0,16.0,162.0,17.0,194.0,14.0,175.0,35.0,227.0,20.0,146.0,9.0,130.0,8.0,66.0,12.0,34.0,4.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,628,58.0,121.0,9.0,35.0,4.0,17.0,2.0,38.0,1.0,46.0,6.0,56.0,5.0,68.0,10.0,58.0,5.0,50.0,8.0,63.0,5.0,35.0,3.0,23.0,0.0,14.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,168,23.0,35.0,5.0,11.0,0.0,4.0,2.0,8.0,1.0,22.0,1.0,18.0,3.0,17.0,3.0,17.0,1.0,16.0,5.0,9.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,35,6.0,11.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,5.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
