hometype,Pax_ID,P1_Age,P2_Gender,P8_Income,P5_EconActivity
21 or above,7,20-24 yrs old,Female,$2000-$2499,Full time student
21 or above,4,45-49 yrs old,Male,$4000-$4999,Employed Full-time
21 or above,5,10-14 yrs old,Female,$5000-$5999,Full time student
21 or above,3,15-19 yrs old,Male,$8000 and above,Full time student
21 or above,2,45-49 yrs old,Male,$5000-$5999,Employed Full-time
21 or above,3,10-14 yrs old,Female,No Income,Employed Full-time
21 or above,2,20-24 yrs old,Female,No Income,Full time student
21 or above,1,4-9 yrs old,Female,Refused,Full time student
21 or above,4,20-24 yrs old,Female,No Income,Homemaker
21 or above,5,15-19 yrs old,Male,Refused,Homemaker
21 or above,5,40-44 yrs old,Female,No Income,Employed Full-time
21 or above,1,20-24 yrs old,Female,No Income,Employed Full-time
21 or above,5,15-19 yrs old,Male,No Income,Employed Full-time
21 or above,2,10-14 yrs old,Male,No Income,Homemaker
21 or above,2,50-54 yrs old,Male,No Income,Employed Full-time
21 or above,4,45-49 yrs old,Female,$1-$1000,Full time student
21 or above,7,4-9 yrs old,Male,No Income,Employed Full-time
21 or above,4,15-19 yrs old,Female,$5000-$5999,Full time student
21 or above,2,35-39 yrs old,Male,No Income,Homemaker
20,6,10-14 yrs old,Female,No Income,Full time student
20,4,20-24 yrs old,Female,No Income,Homemaker
20,2,45-49 yrs old,Female,$2500-$2999,Full time student
20,3,35-39 yrs old,Female,No Income,Full time student
20,1,40-44 yrs old,Female,$3000-$3999,Self-employed
20,1,40-44 yrs old,Female,$1500-$1999,Domestic worker
19,3,45-49 yrs old,Male,$2000-$2499,Employed Full-time
19,4,25-29 yrs old,Male,No Income,Full time student
19,1,55-59 yrs old,Female,No Income,Employed Full-time
19,1,55-59 yrs old,Male,$3000-$3999,Full time student
19,2,40-44 yrs old,Male,No Income,Domestic worker
19,3,40-44 yrs old,Male,Refused,Employed Full-time
19,3,45-49 yrs old,Female,No Income,Employed Full-time
19,5,20-24 yrs old,Male,Refused,Full time student
