,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
BEDOK,2855,520.0,72.0,0.0,175.0,49.0,330.0,36.0,665.0,145.0,764.0,140.0,507.0,93.0,294.0,44.0,48.0,13.0
JURONG WEST,2494,498.0,93.0,25.0,126.0,14.0,312.0,90.0,560.0,120.0,808.0,124.0,435.0,102.0,142.0,18.0,18.0,5.0
WOODLANDS,2339,521.0,184.0,32.0,217.0,49.0,444.0,108.0,610.0,165.0,508.0,84.0,258.0,57.0,108.0,20.0,10.0,6.0
TAMPINES,2163,371.0,86.0,8.0,84.0,14.0,324.0,54.0,300.0,55.0,692.0,128.0,543.0,93.0,118.0,18.0,16.0,1.0
HOUGANG,1731,331.0,9.0,0.0,105.0,21.0,180.0,30.0,330.0,50.0,556.0,104.0,399.0,87.0,118.0,34.0,34.0,5.0
ANG MO KIO,1692,268.0,26.0,9.0,70.0,14.0,162.0,42.0,350.0,60.0,432.0,52.0,381.0,48.0,228.0,38.0,43.0,5.0
BUKIT BATOK,1647,337.0,56.0,16.0,70.0,21.0,222.0,66.0,325.0,45.0,568.0,108.0,306.0,63.0,86.0,18.0,14.0,0.0
CHOA CHU KANG,1627,254.0,57.0,0.0,105.0,14.0,270.0,36.0,400.0,60.0,500.0,88.0,219.0,42.0,72.0,14.0,4.0,0.0
BUKIT PANJANG,1619,263.0,44.0,0.0,119.0,35.0,324.0,42.0,380.0,50.0,472.0,100.0,195.0,24.0,76.0,12.0,9.0,0.0
YISHUN,1610,270.0,40.0,0.0,35.0,7.0,240.0,30.0,325.0,40.0,524.0,88.0,294.0,63.0,140.0,38.0,12.0,4.0
BUKIT MERAH,1518,272.0,16.0,8.0,21.0,0.0,108.0,12.0,255.0,50.0,400.0,60.0,429.0,75.0,244.0,58.0,45.0,9.0
SENGKANG,1363,256.0,16.0,0.0,56.0,0.0,132.0,24.0,295.0,75.0,488.0,96.0,255.0,42.0,110.0,16.0,11.0,3.0
PASIR RIS,1210,287.0,16.0,0.0,35.0,7.0,258.0,102.0,265.0,65.0,328.0,64.0,228.0,39.0,68.0,10.0,12.0,0.0
TOA PAYOH,1147,221.0,0.0,0.0,42.0,7.0,102.0,6.0,160.0,30.0,332.0,80.0,333.0,54.0,132.0,28.0,46.0,16.0
GEYLANG,1128,188.0,8.0,8.0,35.0,14.0,78.0,6.0,225.0,40.0,304.0,40.0,312.0,57.0,132.0,16.0,34.0,7.0
JURONG EAST,1101,181.0,44.0,8.0,28.0,14.0,132.0,18.0,170.0,25.0,380.0,52.0,237.0,39.0,102.0,24.0,8.0,1.0
SERANGOON,1074,193.0,32.0,0.0,77.0,28.0,126.0,12.0,200.0,45.0,312.0,64.0,222.0,24.0,90.0,18.0,15.0,2.0
QUEENSTOWN,1054,244.0,0.0,0.0,49.0,28.0,114.0,36.0,155.0,20.0,272.0,76.0,276.0,54.0,162.0,24.0,26.0,6.0
PUNGGOL,978,167.0,26.0,10.0,21.0,7.0,84.0,18.0,220.0,20.0,300.0,48.0,189.0,30.0,134.0,34.0,4.0,0.0
KALLANG,940,173.0,0.0,0.0,14.0,0.0,78.0,24.0,205.0,35.0,224.0,52.0,255.0,30.0,122.0,22.0,42.0,10.0
SEMBAWANG,900,158.0,0.0,0.0,84.0,0.0,156.0,12.0,270.0,45.0,256.0,76.0,96.0,21.0,36.0,4.0,2.0,0.0
CLEMENTI,823,118.0,19.0,0.0,21.0,7.0,66.0,12.0,185.0,10.0,224.0,44.0,162.0,30.0,124.0,10.0,22.0,5.0
BISHAN,758,168.0,0.0,0.0,7.0,0.0,150.0,30.0,110.0,15.0,228.0,48.0,228.0,66.0,30.0,8.0,5.0,1.0
BUKIT TIMAH,731,162.0,40.0,8.0,42.0,21.0,126.0,24.0,195.0,45.0,188.0,52.0,111.0,9.0,24.0,2.0,5.0,1.0
MARINE PARADE,540,79.0,8.0,0.0,21.0,7.0,60.0,12.0,115.0,20.0,144.0,12.0,114.0,12.0,64.0,10.0,14.0,6.0
NOVENA,277,56.0,8.0,0.0,21.0,7.0,54.0,12.0,35.0,0.0,72.0,12.0,45.0,21.0,32.0,2.0,10.0,2.0
OUTRAM,160,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,48.0,4.0,51.0,9.0,36.0,2.0,15.0,1.0
ROCHOR,107,18.0,0.0,0.0,0.0,0.0,12.0,0.0,20.0,5.0,36.0,4.0,15.0,3.0,20.0,6.0,4.0,0.0
TANGLIN,55,25.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,0.0,24.0,8.0,9.0,6.0,4.0,4.0,2.0,1.0
RIVER VALLEY,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,15.0,0.0,10.0,0.0,4.0,1.0
DOWNTOWN CORE,10,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
NEWTON,8,8.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
SINGAPORE RIVER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
