,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
HDB 4-room,12042,2224.0,240.0,26.0,553.0,133.0,1560.0,306.0,2535.0,455.0,3820.0,660.0,2391.0,447.0,866.0,184.0,77.0,13.0
HDB 5-room,9554,1807.0,305.0,49.0,630.0,91.0,1608.0,366.0,2255.0,435.0,2848.0,516.0,1389.0,267.0,480.0,76.0,39.0,7.0
HDB 3-room,6004,1098.0,67.0,17.0,70.0,35.0,444.0,78.0,840.0,130.0,1612.0,300.0,1914.0,345.0,896.0,162.0,161.0,31.0
Private flat/condo,3787,691.0,16.0,8.0,147.0,35.0,474.0,72.0,930.0,160.0,1256.0,268.0,630.0,90.0,262.0,44.0,72.0,14.0
Landed Property,2263,433.0,214.0,16.0,210.0,63.0,420.0,66.0,515.0,115.0,440.0,88.0,297.0,51.0,148.0,30.0,19.0,4.0
HDB 2-room,935,160.0,16.0,8.0,35.0,7.0,72.0,18.0,125.0,20.0,220.0,32.0,264.0,48.0,150.0,14.0,53.0,13.0
HDB 1-room,510,95.0,16.0,0.0,14.0,0.0,6.0,0.0,30.0,5.0,48.0,8.0,135.0,30.0,190.0,36.0,71.0,16.0
Government executive flat,247,45.0,0.0,0.0,14.0,14.0,36.0,0.0,70.0,5.0,72.0,20.0,30.0,3.0,20.0,0.0,5.0,3.0
HDB other than flat,107,16.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,0.0,20.0,4.0,12.0,0.0,34.0,6.0,20.0,6.0
HUDC flat,107,15.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,5.0,20.0,4.0,30.0,6.0,6.0,0.0,1.0,0.0
Other public flat,86,18.0,26.0,8.0,7.0,7.0,6.0,0.0,15.0,0.0,12.0,0.0,12.0,0.0,2.0,2.0,6.0,1.0
Shophouse,37,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,12.0,3.0,4.0,0.0,9.0,2.0
Attap/zinc roofed,25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,4.0,6.0,3.0,2.0,0.0,0.0,0.0
Floor of shophouse,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
