,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
30-34 yrs old,2991,583.0,70.0,10.0,122.0,31.0,364.0,62.0,547.0,115.0,799.0,163.0,699.0,121.0,361.0,75.0,29.0,6.0
35-39 yrs old,2826,511.0,66.0,14.0,146.0,33.0,327.0,55.0,584.0,103.0,866.0,154.0,603.0,107.0,201.0,37.0,33.0,8.0
40-44 yrs old,2681,455.0,63.0,13.0,99.0,14.0,326.0,58.0,580.0,105.0,852.0,129.0,544.0,100.0,186.0,27.0,31.0,9.0
45-49 yrs old,2676,556.0,41.0,6.0,94.0,25.0,331.0,78.0,531.0,122.0,859.0,159.0,580.0,113.0,202.0,42.0,38.0,11.0
50-54 yrs old,2652,502.0,31.0,3.0,80.0,22.0,261.0,50.0,523.0,86.0,886.0,171.0,594.0,116.0,220.0,46.0,57.0,8.0
15-19 yrs old,2595,474.0,72.0,13.0,135.0,26.0,442.0,86.0,664.0,131.0,868.0,147.0,374.0,66.0,36.0,5.0,4.0,0.0
25-29 yrs old,2551,474.0,79.0,8.0,138.0,42.0,358.0,72.0,554.0,87.0,667.0,137.0,482.0,84.0,237.0,39.0,36.0,5.0
10-14 yrs old,2354,445.0,111.0,21.0,147.0,27.0,427.0,85.0,638.0,121.0,770.0,136.0,247.0,54.0,14.0,1.0,0.0,0.0
20-24 yrs old,2271,432.0,59.0,5.0,109.0,27.0,335.0,66.0,606.0,112.0,692.0,138.0,377.0,68.0,84.0,13.0,9.0,3.0
55-59 yrs old,2237,384.0,38.0,3.0,62.0,16.0,213.0,38.0,340.0,46.0,662.0,123.0,588.0,96.0,279.0,51.0,55.0,11.0
60-64 yrs old,1909,348.0,22.0,5.0,45.0,4.0,171.0,42.0,251.0,40.0,443.0,82.0,538.0,92.0,369.0,71.0,70.0,12.0
6-9 yrs old,1655,273.0,71.0,9.0,112.0,15.0,312.0,50.0,456.0,77.0,521.0,90.0,178.0,32.0,5.0,0.0,0.0,0.0
65-69 yrs old,1203,235.0,20.0,7.0,53.0,16.0,111.0,28.0,116.0,22.0,227.0,46.0,349.0,54.0,278.0,55.0,49.0,7.0
70-74 yrs old,1047,185.0,30.0,5.0,55.0,14.0,120.0,27.0,106.0,14.0,148.0,23.0,252.0,47.0,275.0,38.0,61.0,17.0
75-79 yrs old,606,115.0,13.0,0.0,35.0,10.0,72.0,15.0,52.0,8.0,83.0,16.0,156.0,35.0,160.0,23.0,35.0,8.0
80-84 yrs old,401,76.0,9.0,0.0,16.0,2.0,37.0,7.0,55.0,9.0,81.0,16.0,96.0,20.0,86.0,17.0,21.0,5.0
85 yrs & above,197,31.0,6.0,0.0,17.0,3.0,29.0,6.0,22.0,0.0,31.0,7.0,52.0,5.0,33.0,9.0,7.0,1.0
