,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Employed Full-time,12878,2378.0,263.0,43.0,479.0,118.0,1435.0,278.0,2369.0,435.0,3846.0,707.0,2925.0,519.0,1345.0,235.0,216.0,43.0
Full time student,7300,1301.0,263.0,43.0,412.0,71.0,1279.0,229.0,1954.0,360.0,2380.0,413.0,921.0,174.0,85.0,10.0,6.0,1.0
Homemaker,4459,854.0,75.0,10.0,167.0,40.0,465.0,94.0,742.0,142.0,1356.0,245.0,1123.0,222.0,492.0,93.0,39.0,8.0
Retired,3014,546.0,70.0,9.0,148.0,36.0,326.0,74.0,368.0,47.0,536.0,99.0,754.0,129.0,659.0,115.0,153.0,37.0
Self-employed,1751,358.0,34.0,5.0,68.0,19.0,200.0,42.0,369.0,60.0,488.0,120.0,370.0,62.0,172.0,41.0,50.0,9.0
Domestic worker,1344,247.0,59.0,8.0,122.0,28.0,320.0,56.0,407.0,74.0,270.0,56.0,137.0,22.0,29.0,3.0,0.0,0.0
Employed Part-time,972,192.0,18.0,3.0,29.0,7.0,78.0,21.0,179.0,37.0,277.0,51.0,215.0,36.0,143.0,35.0,33.0,2.0
Unemployed,877,157.0,12.0,1.0,34.0,7.0,91.0,19.0,172.0,33.0,207.0,27.0,229.0,43.0,96.0,16.0,36.0,11.0
National service,247,45.0,7.0,0.0,6.0,1.0,41.0,11.0,64.0,10.0,91.0,19.0,34.0,3.0,2.0,1.0,2.0,0.0
Voluntary worker,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Non schooling child,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
