,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Professional,5042,174.0,64.0,5.0,149.0,2.0,523.0,11.0,955.0,38.0,1551.0,52.0,1146.0,48.0,557.0,16.0,97.0,2.0
Service & sales worker,3552,146.0,67.0,5.0,129.0,3.0,402.0,20.0,648.0,25.0,1023.0,42.0,823.0,27.0,370.0,16.0,90.0,8.0
Associate professional & technician,1626,54.0,35.0,3.0,62.0,1.0,199.0,4.0,320.0,14.0,491.0,15.0,346.0,11.0,157.0,5.0,16.0,1.0
"Legislator,senior official & manager",1606,62.0,34.0,1.0,83.0,2.0,200.0,6.0,364.0,14.0,453.0,16.0,313.0,12.0,127.0,7.0,32.0,4.0
Clerical worker,1493,53.0,45.0,2.0,71.0,3.0,193.0,7.0,289.0,13.0,464.0,17.0,295.0,9.0,121.0,1.0,15.0,1.0
"Cleaner, labourer & related worker",894,29.0,40.0,2.0,22.0,0.0,64.0,0.0,99.0,6.0,195.0,4.0,246.0,10.0,194.0,6.0,34.0,1.0
Plant & machine operator & assembler,682,24.0,19.0,1.0,38.0,0.0,69.0,1.0,107.0,2.0,209.0,7.0,182.0,12.0,53.0,1.0,5.0,0.0
Production craftsman & related worker,379,13.0,2.0,0.0,10.0,0.0,33.0,0.0,69.0,2.0,120.0,2.0,83.0,4.0,55.0,5.0,7.0,0.0
Armed forces,245,9.0,7.0,0.0,9.0,1.0,24.0,1.0,49.0,0.0,89.0,3.0,50.0,2.0,16.0,2.0,1.0,0.0
Self Employed / Businessman,52,1.0,0.0,0.0,2.0,0.0,5.0,0.0,13.0,0.0,8.0,1.0,18.0,0.0,5.0,0.0,1.0,0.0
Agriculture & fishery worker,30,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,1.0,8.0,0.0,5.0,0.0,1.0,0.0
