,population,sample,population_8 or above,sample_8 or above,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
1,9635,357.0,108.0,5.0,240.0,7.0,777.0,22.0,1472.0,57.0,2598.0,89.0,2375.0,94.0,1530.0,56.0,535.0,27.0
2,9100,330.0,108.0,5.0,240.0,7.0,777.0,22.0,1472.0,57.0,2598.0,89.0,2375.0,94.0,1530.0,56.0,0.0,0.0
3,7570,274.0,108.0,5.0,240.0,7.0,777.0,22.0,1472.0,57.0,2598.0,89.0,2375.0,94.0,0.0,0.0,0.0,0.0
4,5195,180.0,108.0,5.0,240.0,7.0,777.0,22.0,1472.0,57.0,2598.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2597,91.0,108.0,5.0,240.0,7.0,777.0,22.0,1472.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1125,34.0,108.0,5.0,240.0,7.0,777.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,348,12.0,108.0,5.0,240.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,108,5.0,108.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
