,population,sample,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
HDB 4-room,12042,460.0,0.0,0.0,40.0,0.0,0.0,0.0,200.0,0.0,553.0,7.0,1560.0,96.0,2535.0,80.0,3820.0,156.0,2391.0,81.0,866.0,36.0,77.0,4.0
HDB 5-room,9554,352.0,0.0,0.0,40.0,0.0,81.0,0.0,184.0,0.0,630.0,21.0,1608.0,66.0,2255.0,70.0,2848.0,108.0,1389.0,69.0,480.0,18.0,39.0,0.0
HDB 3-room,6004,230.0,0.0,0.0,0.0,0.0,27.0,0.0,40.0,0.0,70.0,0.0,444.0,30.0,840.0,55.0,1612.0,60.0,1914.0,48.0,896.0,32.0,161.0,5.0
Private flat/condo,3787,154.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,147.0,7.0,474.0,0.0,930.0,55.0,1256.0,44.0,630.0,36.0,262.0,12.0,72.0,0.0
Landed Property,2263,61.0,11.0,0.0,0.0,0.0,27.0,0.0,176.0,8.0,210.0,7.0,420.0,6.0,515.0,15.0,440.0,12.0,297.0,9.0,148.0,4.0,19.0,0.0
HDB 2-room,935,28.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,35.0,0.0,72.0,6.0,125.0,0.0,220.0,4.0,264.0,9.0,150.0,8.0,53.0,1.0
HDB 1-room,510,31.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,6.0,0.0,30.0,0.0,48.0,4.0,135.0,15.0,190.0,8.0,71.0,4.0
Government executive flat,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,36.0,0.0,70.0,0.0,72.0,0.0,30.0,0.0,20.0,0.0,5.0,0.0
HUDC flat,107,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,20.0,0.0,20.0,0.0,30.0,0.0,6.0,0.0,1.0,0.0
HDB other than flat,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,0.0,20.0,0.0,12.0,0.0,34.0,0.0,20.0,0.0
Other public flat,86,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,7.0,0.0,6.0,0.0,15.0,0.0,12.0,0.0,12.0,0.0,2.0,0.0,6.0,0.0
Shophouse,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,4.0,0.0,9.0,0.0
Attap/zinc roofed,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Floor of shophouse,10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
