,population,sample,population_52,sample_52,population_42,sample_42,population_37,sample_37,population_36,sample_36,population_34,sample_34,population_33,sample_33,population_32,sample_32,population_31,sample_31,population_30,sample_30,population_29,sample_29,population_28,sample_28,population_27,sample_27,population_26,sample_26,population_25,sample_25,population_24,sample_24,population_23,sample_23,population_22,sample_22,population_21,sample_21,population_20,sample_20,population_19,sample_19,population_18,sample_18,population_17,sample_17,population_16,sample_16,population_15,sample_15,population_14,sample_14,population_13,sample_13,population_12,sample_12,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
40-44 yrs old,8889,766.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,47.0,17.0,43.0,0.0,38.0,0.0,37.0,5.0,29.0,0.0,80.0,6.0,80.0,15.0,131.0,20.0,180.0,15.0,164.0,4.0,144.0,6.0,295.0,20.0,364.0,40.0,369.0,25.0,594.0,50.0,624.0,93.0,706.0,51.0,702.0,44.0,770.0,66.0,665.0,60.0,695.0,51.0,596.0,69.0,581.0,46.0,351.0,14.0,325.0,36.0,131.0,5.0,98.0,7.0,8.0,1.0
35-39 yrs old,8263,724.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,22.0,18.0,3.0,0.0,20.0,0.0,57.0,0.0,40.0,0.0,48.0,25.0,90.0,0.0,57.0,23.0,103.0,18.0,158.0,14.0,157.0,0.0,246.0,16.0,273.0,7.0,358.0,20.0,415.0,28.0,493.0,38.0,665.0,84.0,637.0,63.0,796.0,47.0,601.0,56.0,824.0,91.0,561.0,58.0,615.0,48.0,390.0,30.0,348.0,29.0,135.0,7.0,96.0,4.0,8.0,0.0
45-49 yrs old,7862,619.0,28.0,0.0,0.0,0.0,24.0,0.0,25.0,0.0,12.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,30.0,17.0,36.0,0.0,10.0,0.0,45.0,0.0,95.0,0.0,52.0,5.0,81.0,8.0,78.0,8.0,201.0,24.0,141.0,13.0,176.0,12.0,219.0,3.0,281.0,21.0,324.0,16.0,453.0,42.0,522.0,22.0,653.0,75.0,622.0,30.0,658.0,52.0,577.0,40.0,655.0,71.0,484.0,37.0,490.0,61.0,322.0,7.0,289.0,28.0,116.0,11.0,93.0,11.0,10.0,1.0
30-34 yrs old,7615,622.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,17.0,2.0,3.0,0.0,15.0,1.0,24.0,6.0,49.0,0.0,50.0,3.0,85.0,0.0,160.0,0.0,129.0,4.0,212.0,20.0,265.0,7.0,418.0,55.0,347.0,34.0,534.0,60.0,546.0,38.0,643.0,70.0,657.0,69.0,972.0,72.0,588.0,48.0,724.0,56.0,373.0,23.0,481.0,32.0,147.0,7.0,153.0,15.0,2.0,0.0
15-19 yrs old,7466,504.0,24.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,30.0,7.0,19.0,5.0,30.0,0.0,6.0,0.0,44.0,0.0,84.0,0.0,56.0,0.0,66.0,2.0,127.0,19.0,189.0,14.0,156.0,10.0,220.0,13.0,266.0,4.0,351.0,5.0,439.0,15.0,537.0,64.0,655.0,72.0,680.0,56.0,703.0,33.0,670.0,42.0,545.0,21.0,570.0,52.0,436.0,30.0,253.0,19.0,159.0,10.0,81.0,11.0,15.0,0.0,20.0,0.0,1.0,0.0
50-54 yrs old,6985,561.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,19.0,0.0,17.0,0.0,7.0,0.0,14.0,4.0,43.0,0.0,51.0,0.0,27.0,0.0,101.0,16.0,114.0,7.0,110.0,3.0,137.0,6.0,151.0,7.0,193.0,0.0,292.0,12.0,378.0,53.0,462.0,45.0,503.0,45.0,515.0,28.0,616.0,83.0,585.0,36.0,609.0,47.0,539.0,43.0,479.0,47.0,322.0,28.0,342.0,17.0,149.0,20.0,100.0,4.0,14.0,0.0
25-29 yrs old,6842,553.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,3.0,17.0,0.0,19.0,0.0,7.0,0.0,19.0,0.0,17.0,0.0,11.0,4.0,33.0,5.0,44.0,1.0,67.0,5.0,84.0,0.0,104.0,10.0,132.0,0.0,220.0,12.0,260.0,18.0,328.0,45.0,306.0,14.0,454.0,34.0,476.0,47.0,578.0,64.0,663.0,52.0,722.0,81.0,552.0,35.0,663.0,48.0,364.0,19.0,395.0,36.0,137.0,10.0,145.0,9.0,3.0,1.0
10-14 yrs old,6479,569.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,9.0,0.0,8.0,0.0,14.0,0.0,7.0,0.0,12.0,0.0,16.0,3.0,25.0,14.0,39.0,0.0,22.0,0.0,58.0,8.0,37.0,0.0,47.0,8.0,62.0,8.0,84.0,25.0,155.0,16.0,144.0,5.0,146.0,4.0,196.0,16.0,319.0,29.0,329.0,14.0,535.0,58.0,550.0,48.0,594.0,59.0,526.0,22.0,630.0,55.0,556.0,52.0,505.0,58.0,431.0,32.0,271.0,26.0,113.0,6.0,26.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
4-9 yrs old,6143,540.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,9.0,0.0,17.0,0.0,6.0,0.0,4.0,0.0,15.0,9.0,40.0,0.0,11.0,0.0,60.0,6.0,31.0,0.0,31.0,10.0,85.0,8.0,112.0,4.0,125.0,16.0,134.0,8.0,156.0,5.0,253.0,18.0,289.0,22.0,302.0,10.0,419.0,36.0,398.0,48.0,566.0,57.0,609.0,69.0,637.0,44.0,538.0,64.0,517.0,39.0,377.0,26.0,194.0,24.0,125.0,13.0,32.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0
20-24 yrs old,5998,480.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,1.0,4.0,0.0,3.0,0.0,24.0,0.0,51.0,0.0,57.0,5.0,55.0,13.0,79.0,0.0,86.0,6.0,91.0,7.0,137.0,10.0,195.0,11.0,253.0,6.0,309.0,26.0,428.0,70.0,459.0,36.0,593.0,42.0,539.0,43.0,573.0,72.0,504.0,25.0,423.0,35.0,302.0,14.0,305.0,16.0,163.0,11.0,148.0,13.0,50.0,1.0,121.0,15.0,2.0,0.0
