,population,sample,population_21 or above,sample_21 or above,population_20,sample_20,population_19,sample_19,population_18,sample_18,population_17,sample_17,population_16,sample_16,population_15,sample_15,population_14,sample_14,population_13,sample_13,population_12,sample_12,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Employed Full-time,39752,16406.0,1438.0,564.0,539.0,198.0,589.0,222.0,709.0,208.0,999.0,461.0,1282.0,463.0,1606.0,617.0,2198.0,994.0,2336.0,1028.0,3079.0,1362.0,3100.0,1215.0,3547.0,1555.0,3336.0,1389.0,3878.0,1587.0,2865.0,1092.0,3005.0,1305.0,1847.0,751.0,1945.0,811.0,728.0,281.0,710.0,294.0,16.0,9.0
Full time student,21958,9379.0,1545.0,674.0,494.0,183.0,476.0,151.0,568.0,199.0,759.0,324.0,1053.0,400.0,1116.0,512.0,1666.0,811.0,1754.0,759.0,2070.0,929.0,1962.0,794.0,2165.0,996.0,1747.0,692.0,1724.0,724.0,1363.0,553.0,823.0,369.0,422.0,208.0,172.0,69.0,25.0,8.0,51.0,22.0,3.0,2.0
Homemaker,8395,3547.0,482.0,196.0,122.0,47.0,147.0,51.0,86.0,32.0,181.0,95.0,233.0,104.0,350.0,159.0,377.0,167.0,471.0,212.0,551.0,214.0,519.0,212.0,595.0,283.0,633.0,276.0,753.0,310.0,657.0,252.0,647.0,281.0,576.0,253.0,519.0,206.0,291.0,118.0,164.0,67.0,41.0,12.0
Self-employed,4591,2008.0,354.0,144.0,102.0,42.0,47.0,29.0,121.0,55.0,139.0,54.0,126.0,85.0,177.0,100.0,242.0,146.0,235.0,94.0,307.0,115.0,293.0,133.0,349.0,157.0,365.0,140.0,364.0,166.0,316.0,99.0,346.0,138.0,265.0,128.0,268.0,117.0,92.0,40.0,75.0,24.0,8.0,2.0
Retired,4198,1741.0,98.0,45.0,45.0,22.0,48.0,7.0,62.0,24.0,61.0,13.0,121.0,43.0,102.0,62.0,156.0,56.0,118.0,58.0,236.0,110.0,188.0,80.0,252.0,97.0,224.0,101.0,324.0,135.0,297.0,87.0,459.0,219.0,376.0,163.0,490.0,192.0,225.0,91.0,271.0,117.0,45.0,19.0
Employed Part-time,2794,1183.0,141.0,65.0,38.0,26.0,41.0,14.0,35.0,17.0,92.0,34.0,72.0,24.0,67.0,34.0,108.0,63.0,151.0,72.0,238.0,114.0,195.0,83.0,209.0,96.0,242.0,94.0,275.0,126.0,174.0,66.0,222.0,76.0,162.0,56.0,153.0,51.0,107.0,42.0,60.0,25.0,12.0,5.0
Domestic worker,1825,772.0,128.0,61.0,31.0,10.0,40.0,9.0,56.0,19.0,50.0,17.0,84.0,30.0,113.0,64.0,132.0,65.0,120.0,57.0,121.0,47.0,140.0,52.0,156.0,70.0,157.0,65.0,146.0,52.0,90.0,27.0,106.0,62.0,56.0,17.0,55.0,31.0,23.0,9.0,21.0,8.0,0.0,0.0
Unemployed,1432,542.0,19.0,1.0,12.0,0.0,7.0,2.0,41.0,5.0,25.0,4.0,40.0,10.0,30.0,7.0,38.0,7.0,85.0,42.0,97.0,41.0,77.0,29.0,128.0,59.0,91.0,43.0,109.0,47.0,108.0,26.0,132.0,67.0,111.0,39.0,117.0,53.0,73.0,24.0,69.0,27.0,23.0,9.0
National service,427,144.0,11.0,0.0,12.0,6.0,2.0,0.0,14.0,4.0,7.0,0.0,22.0,4.0,37.0,5.0,35.0,24.0,33.0,10.0,29.0,12.0,47.0,12.0,30.0,8.0,47.0,14.0,44.0,17.0,19.0,3.0,18.0,8.0,7.0,6.0,10.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0
Others,167,57.0,1.0,1.0,8.0,0.0,2.0,1.0,4.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,6.0,1.0,8.0,2.0,6.0,3.0,15.0,5.0,18.0,6.0,13.0,5.0,34.0,19.0,16.0,3.0,8.0,2.0,7.0,3.0,3.0,3.0,1.0,0.0,8.0,1.0,0.0,0.0
Non schooling child,71,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,4.0,5.0,4.0,7.0,1.0,19.0,6.0,11.0,10.0,5.0,2.0,8.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voluntary worker,38,13.0,8.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Refused,11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
