,population,sample,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Employed Full-time,12878,475.0,0.0,0.0,25.0,0.0,50.0,0.0,188.0,2.0,479.0,11.0,1435.0,64.0,2369.0,83.0,3846.0,148.0,2925.0,107.0,1345.0,53.0,216.0,7.0
Full time student,7300,258.0,3.0,0.0,24.0,0.0,41.0,0.0,195.0,1.0,412.0,10.0,1279.0,57.0,1954.0,76.0,2380.0,78.0,921.0,34.0,85.0,2.0,6.0,0.0
Homemaker,4459,171.0,3.0,0.0,5.0,0.0,9.0,0.0,58.0,2.0,167.0,4.0,465.0,19.0,742.0,31.0,1356.0,53.0,1123.0,40.0,492.0,19.0,39.0,3.0
Retired,3014,92.0,1.0,0.0,10.0,0.0,15.0,0.0,44.0,0.0,148.0,2.0,326.0,12.0,368.0,10.0,536.0,18.0,754.0,23.0,659.0,25.0,153.0,2.0
Self-employed,1751,69.0,1.0,0.0,1.0,0.0,8.0,0.0,24.0,0.0,68.0,1.0,200.0,11.0,369.0,17.0,488.0,16.0,370.0,20.0,172.0,4.0,50.0,0.0
Domestic worker,1344,48.0,2.0,0.0,1.0,0.0,11.0,0.0,45.0,1.0,122.0,4.0,320.0,9.0,407.0,18.0,270.0,8.0,137.0,7.0,29.0,1.0,0.0,0.0
Employed Part-time,972,36.0,0.0,0.0,1.0,0.0,4.0,0.0,13.0,0.0,29.0,1.0,78.0,5.0,179.0,5.0,277.0,12.0,215.0,8.0,143.0,5.0,33.0,0.0
Unemployed,877,50.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,34.0,1.0,91.0,10.0,172.0,12.0,207.0,6.0,229.0,12.0,96.0,7.0,36.0,2.0
National service,247,11.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,0.0,41.0,2.0,64.0,3.0,91.0,5.0,34.0,1.0,2.0,0.0,2.0,0.0
Voluntary worker,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Non schooling child,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
