,population,sample,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Professional,5042,184.0,1.0,0.0,4.0,0.0,3.0,0.0,56.0,2.0,149.0,5.0,523.0,18.0,955.0,33.0,1551.0,61.0,1146.0,42.0,557.0,20.0,97.0,3.0
Service & sales worker,3552,128.0,0.0,0.0,7.0,0.0,14.0,0.0,46.0,0.0,129.0,3.0,402.0,25.0,648.0,28.0,1023.0,30.0,823.0,28.0,370.0,12.0,90.0,2.0
Associate professional & technician,1626,56.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0,0.0,62.0,1.0,199.0,5.0,320.0,10.0,491.0,19.0,346.0,14.0,157.0,7.0,16.0,0.0
"Legislator,senior official & manager",1606,57.0,0.0,0.0,1.0,0.0,7.0,0.0,26.0,0.0,83.0,0.0,200.0,5.0,364.0,13.0,453.0,20.0,313.0,15.0,127.0,3.0,32.0,1.0
Clerical worker,1493,65.0,0.0,0.0,7.0,0.0,8.0,0.0,30.0,0.0,71.0,3.0,193.0,15.0,289.0,12.0,464.0,19.0,295.0,11.0,121.0,5.0,15.0,0.0
"Cleaner, labourer & related worker",894,31.0,0.0,0.0,2.0,0.0,19.0,0.0,19.0,0.0,22.0,0.0,64.0,3.0,99.0,2.0,195.0,6.0,246.0,11.0,194.0,8.0,34.0,1.0
Plant & machine operator & assembler,682,21.0,0.0,0.0,4.0,0.0,3.0,0.0,12.0,0.0,38.0,0.0,69.0,4.0,107.0,3.0,209.0,5.0,182.0,5.0,53.0,4.0,5.0,0.0
Production craftsman & related worker,379,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,33.0,3.0,69.0,2.0,120.0,4.0,83.0,3.0,55.0,2.0,7.0,0.0
Armed forces,245,15.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,24.0,2.0,49.0,0.0,89.0,10.0,50.0,3.0,16.0,0.0,1.0,0.0
Self Employed / Businessman,52,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,13.0,1.0,8.0,1.0,18.0,2.0,5.0,1.0,1.0,0.0
Agriculture & fishery worker,30,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,8.0,1.0,8.0,1.0,5.0,0.0,1.0,0.0
