,population,sample,population_21 or above,sample_21 or above,population_20,sample_20,population_19,sample_19,population_18,sample_18,population_17,sample_17,population_16,sample_16,population_15,sample_15,population_14,sample_14,population_13,sample_13,population_12,sample_12,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
No Income,35971,15179.0,2128.0,919.0,670.0,252.0,685.0,212.0,752.0,256.0,1037.0,436.0,1447.0,557.0,1577.0,724.0,2248.0,1045.0,2442.0,1076.0,2957.0,1288.0,2756.0,1110.0,3144.0,1444.0,2683.0,1106.0,2933.0,1232.0,2434.0,916.0,2042.0,924.0,1489.0,664.0,1282.0,511.0,603.0,236.0,550.0,229.0,112.0,42.0
Refused,6781,2654.0,309.0,112.0,103.0,18.0,173.0,53.0,115.0,30.0,185.0,119.0,209.0,49.0,285.0,142.0,452.0,168.0,318.0,146.0,550.0,183.0,515.0,196.0,477.0,193.0,493.0,217.0,665.0,271.0,486.0,185.0,551.0,217.0,337.0,131.0,333.0,126.0,118.0,56.0,102.0,39.0,5.0,3.0
$1500-$1999,6779,2855.0,182.0,64.0,140.0,57.0,82.0,36.0,104.0,32.0,178.0,83.0,190.0,73.0,233.0,94.0,317.0,176.0,458.0,214.0,622.0,300.0,531.0,238.0,610.0,247.0,570.0,226.0,668.0,230.0,514.0,207.0,479.0,203.0,304.0,134.0,321.0,139.0,149.0,48.0,123.0,51.0,4.0,3.0
$1-$1000,5976,2531.0,257.0,105.0,87.0,50.0,76.0,22.0,109.0,32.0,128.0,61.0,179.0,71.0,210.0,93.0,270.0,130.0,321.0,149.0,404.0,201.0,438.0,148.0,498.0,222.0,498.0,192.0,551.0,251.0,390.0,147.0,457.0,191.0,301.0,126.0,373.0,170.0,210.0,84.0,207.0,81.0,12.0,5.0
$3000-$3999,5920,2580.0,243.0,89.0,61.0,34.0,98.0,40.0,139.0,54.0,149.0,60.0,247.0,95.0,226.0,82.0,329.0,203.0,399.0,166.0,368.0,189.0,506.0,202.0,556.0,286.0,468.0,176.0,630.0,271.0,364.0,152.0,465.0,211.0,238.0,91.0,290.0,118.0,84.0,32.0,59.0,29.0,1.0,0.0
$2000-$2499,5600,2248.0,176.0,81.0,73.0,22.0,65.0,13.0,81.0,43.0,123.0,50.0,161.0,54.0,239.0,97.0,281.0,110.0,327.0,133.0,473.0,201.0,437.0,162.0,578.0,233.0,552.0,229.0,517.0,230.0,395.0,128.0,419.0,175.0,271.0,110.0,258.0,109.0,87.0,35.0,86.0,33.0,1.0,0.0
$2500-$2999,4627,1977.0,164.0,96.0,73.0,40.0,35.0,4.0,89.0,39.0,130.0,42.0,169.0,52.0,185.0,74.0,275.0,138.0,274.0,110.0,293.0,150.0,401.0,196.0,436.0,171.0,448.0,200.0,486.0,194.0,335.0,129.0,350.0,132.0,212.0,94.0,172.0,68.0,50.0,22.0,48.0,24.0,2.0,2.0
$1001-$1499,4552,1904.0,170.0,65.0,20.0,2.0,58.0,33.0,73.0,26.0,102.0,35.0,122.0,49.0,205.0,67.0,175.0,88.0,242.0,79.0,377.0,162.0,296.0,109.0,317.0,174.0,399.0,165.0,432.0,189.0,352.0,132.0,391.0,187.0,260.0,116.0,304.0,127.0,113.0,45.0,136.0,53.0,8.0,1.0
$4000-$4999,3336,1358.0,117.0,31.0,84.0,19.0,28.0,12.0,99.0,24.0,93.0,35.0,84.0,40.0,172.0,54.0,200.0,89.0,180.0,107.0,244.0,112.0,225.0,94.0,320.0,138.0,301.0,128.0,321.0,120.0,247.0,83.0,254.0,120.0,126.0,48.0,142.0,69.0,53.0,21.0,46.0,14.0,0.0,0.0
$5000-$5999,2308,925.0,173.0,75.0,20.0,4.0,42.0,20.0,42.0,13.0,60.0,32.0,96.0,48.0,73.0,33.0,130.0,58.0,126.0,44.0,211.0,78.0,180.0,65.0,231.0,96.0,195.0,77.0,177.0,79.0,179.0,67.0,149.0,62.0,87.0,19.0,79.0,29.0,35.0,15.0,22.0,10.0,1.0,1.0
$8000 and above,2196,994.0,197.0,83.0,66.0,36.0,52.0,41.0,42.0,4.0,90.0,33.0,74.0,59.0,112.0,75.0,176.0,80.0,134.0,75.0,129.0,33.0,157.0,57.0,185.0,73.0,122.0,51.0,139.0,74.0,95.0,24.0,131.0,59.0,130.0,58.0,95.0,48.0,35.0,13.0,34.0,18.0,1.0,0.0
$6000-$6999,990,365.0,53.0,12.0,4.0,0.0,6.0,0.0,43.0,9.0,29.0,10.0,36.0,10.0,41.0,10.0,66.0,32.0,50.0,23.0,77.0,40.0,71.0,23.0,69.0,30.0,94.0,36.0,85.0,24.0,62.0,20.0,61.0,35.0,58.0,26.0,46.0,15.0,28.0,7.0,10.0,2.0,1.0,1.0
$7000-$7999,623,262.0,56.0,27.0,2.0,0.0,4.0,0.0,8.0,2.0,17.0,6.0,22.0,9.0,44.0,17.0,52.0,21.0,45.0,16.0,37.0,12.0,48.0,25.0,45.0,30.0,40.0,19.0,57.0,22.0,54.0,18.0,22.0,12.0,21.0,10.0,38.0,14.0,5.0,0.0,6.0,2.0,0.0,0.0
