,population,sample,population_21 or above,sample_21 or above,population_20,sample_20,population_19,sample_19,population_18,sample_18,population_17,sample_17,population_16,sample_16,population_15,sample_15,population_14,sample_14,population_13,sample_13,population_12,sample_12,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
1,28519,11913.0,1070.0,418.0,315.0,125.0,376.0,140.0,447.0,134.0,548.0,248.0,756.0,302.0,889.0,386.0,1257.0,565.0,1408.0,624.0,1870.0,809.0,1873.0,737.0,2256.0,1000.0,2075.0,874.0,2616.0,1115.0,2128.0,764.0,2447.0,1097.0,1720.0,725.0,2121.0,904.0,982.0,387.0,1218.0,501.0,147.0,58.0
2,22546,9565.0,972.0,410.0,305.0,120.0,317.0,113.0,367.0,134.0,514.0,246.0,679.0,266.0,784.0,362.0,1151.0,569.0,1249.0,576.0,1627.0,712.0,1621.0,670.0,1890.0,854.0,1831.0,759.0,2230.0,927.0,1731.0,665.0,1867.0,815.0,1315.0,552.0,1292.0,509.0,581.0,215.0,222.0,91.0,1.0,0.0
3,17385,7212.0,670.0,275.0,281.0,98.0,268.0,96.0,319.0,98.0,426.0,180.0,586.0,226.0,729.0,307.0,1036.0,490.0,1085.0,464.0,1451.0,626.0,1427.0,569.0,1673.0,760.0,1596.0,651.0,1788.0,721.0,1448.0,557.0,1217.0,511.0,850.0,367.0,457.0,181.0,76.0,35.0,2.0,0.0,0.0,0.0
4,11954,4952.0,622.0,268.0,253.0,99.0,259.0,89.0,272.0,84.0,415.0,174.0,537.0,209.0,638.0,269.0,877.0,404.0,951.0,401.0,1112.0,480.0,1166.0,481.0,1233.0,545.0,1165.0,469.0,1020.0,412.0,776.0,285.0,479.0,211.0,153.0,58.0,25.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,5498,2328.0,512.0,233.0,150.0,50.0,135.0,40.0,197.0,86.0,274.0,109.0,309.0,107.0,401.0,171.0,490.0,230.0,524.0,236.0,562.0,253.0,497.0,185.0,544.0,243.0,417.0,171.0,278.0,129.0,140.0,56.0,60.0,25.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1846,756.0,255.0,104.0,64.0,27.0,47.0,10.0,77.0,24.0,112.0,43.0,143.0,56.0,162.0,70.0,194.0,87.0,175.0,77.0,227.0,104.0,146.0,52.0,130.0,50.0,66.0,28.0,34.0,16.0,6.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,628,233.0,121.0,50.0,35.0,14.0,17.0,6.0,38.0,11.0,46.0,12.0,56.0,12.0,68.0,30.0,58.0,27.0,50.0,18.0,63.0,24.0,35.0,10.0,23.0,8.0,14.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,168,66.0,35.0,19.0,11.0,7.0,4.0,0.0,8.0,2.0,22.0,6.0,18.0,4.0,17.0,8.0,17.0,7.0,16.0,7.0,9.0,4.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,35,15.0,11.0,4.0,3.0,0.0,1.0,0.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,3.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
